Time	Dev_1
0.000000	0.000000
0.001212	0.000000
0.002424	0.000000
0.003636	0.000000
0.004848	0.000000
0.006060	0.000000
0.007272	0.000000
0.008485	0.000000
0.009697	0.000000
0.010909	0.000000
0.012121	0.000000
0.013333	0.000000
0.014545	0.000000
0.015757	0.000000
0.016969	0.000000
0.018181	0.000000
0.019393	0.000000
0.020605	0.000000
0.021817	0.000000
0.023029	0.000000
0.024241	0.000000
0.025454	0.000000
0.026666	0.000000
0.027878	0.000000
0.029090	0.000000
0.030302	0.000000
0.031514	0.000000
0.032726	0.000000
0.033938	0.000000
0.035150	0.000000
0.036362	0.000000
0.037574	0.000000
0.038786	0.000000
0.039998	0.000000
0.041210	0.000000
0.042423	0.000000
0.043635	0.000000
0.044847	0.000000
0.046059	0.000000
0.047271	0.000000
0.048483	0.000000
0.049695	0.000000
0.050907	0.000000
0.052119	0.000000
0.053331	0.000000
0.054543	0.000000
0.055755	0.000000
0.056967	0.000000
0.058180	0.000000
0.059392	0.000000
0.060604	0.000000
0.061816	0.000000
0.063028	0.000000
0.064240	0.000000
0.065452	0.000000
0.066664	0.000000
0.067876	0.000000
0.069088	0.000000
0.070300	0.000000
0.071512	0.000000
0.072724	0.000000
0.073936	0.000000
0.075149	0.000000
0.076361	0.000000
0.077573	0.000000
0.078785	0.000000
0.079997	0.000000
0.081209	0.000000
0.082421	0.000000
0.083633	0.000000
0.084845	0.000000
0.086057	0.000000
0.087269	0.000000
0.088481	0.000000
0.089693	0.000000
0.090906	0.000000
0.092118	0.000000
0.093330	0.000000
0.094542	0.000000
0.095754	0.000000
0.096966	0.000000
0.098178	0.000000
0.099390	0.000000
0.100602	0.000000
0.101814	0.000000
0.103026	0.000000
0.104238	0.000000
0.105450	0.000000
0.106662	0.000000
0.107875	0.000000
0.109087	0.000000
0.110299	0.000000
0.111511	0.000000
0.112723	0.000000
0.113935	0.000000
0.115147	0.000000
0.116359	0.000000
0.117571	0.000000
0.118783	0.000000
0.119995	0.000000
0.121207	0.000000
0.122419	0.000000
0.123631	0.000000
0.124844	0.000000
0.126056	0.000000
0.127268	0.000000
0.128480	0.000000
0.129692	0.000000
0.130904	0.000000
0.132116	0.000000
0.133328	0.000000
0.134540	0.000000
0.135752	0.000000
0.136964	0.000000
0.138176	0.000000
0.139388	0.000000
0.140601	0.000000
0.141813	0.000000
0.143025	0.000000
0.144237	0.000000
0.145449	0.000000
0.146661	0.000000
0.147873	0.000000
0.149085	0.000000
0.150297	0.000000
0.151509	0.000000
0.152721	0.000000
0.153933	0.000000
0.155145	0.000000
0.156357	0.000000
0.157570	0.000000
0.158782	0.000000
0.159994	0.000000
0.161206	0.000000
0.162418	0.000000
0.163630	0.000000
0.164842	0.000000
0.166054	0.000000
0.167266	0.000000
0.168478	0.000000
0.169690	0.000000
0.170902	0.000000
0.172114	0.000000
0.173327	0.000000
0.174539	0.000000
0.175751	0.000000
0.176963	0.000000
0.178175	0.000000
0.179387	0.000000
0.180599	0.000000
0.181811	0.000000
0.183023	0.000000
0.184235	0.000000
0.185447	0.000000
0.186659	0.000000
0.187871	0.000000
0.189083	0.000000
0.190296	0.000000
0.191508	0.000000
0.192720	0.000000
0.193932	0.000000
0.195144	0.000000
0.196356	0.000000
0.197568	0.000000
0.198780	0.000000
0.199992	0.000000
0.201204	0.000000
0.202416	0.000000
0.203628	0.000000
0.204840	0.000000
0.206052	0.000000
0.207265	0.000000
0.208477	0.000000
0.209689	0.000000
0.210901	0.000000
0.212113	0.000000
0.213325	0.000000
0.214537	0.000000
0.215749	0.000000
0.216961	0.000000
0.218173	0.000000
0.219385	0.000000
0.220597	0.000000
0.221809	0.000000
0.223022	0.000000
0.224234	0.000000
0.225446	0.000000
0.226658	0.000000
0.227870	0.000000
0.229082	0.000000
0.230294	0.000000
0.231506	0.000000
0.232718	0.000000
0.233930	0.000000
0.235142	0.000000
0.236354	0.000000
0.237566	0.000000
0.238778	0.000000
0.239991	0.000000
0.241203	0.000000
0.242415	0.000000
0.243627	0.000000
0.244839	0.000000
0.246051	0.000000
0.247263	0.000000
0.248475	0.000000
0.249687	0.000000
0.250899	0.000000
0.252111	0.000000
0.253323	0.000000
0.254535	0.000000
0.255747	0.000000
0.256960	0.000000
0.258172	0.000000
0.259384	0.000000
0.260596	0.000000
0.261808	0.000000
0.263020	0.000000
0.264232	0.000000
0.265444	0.000000
